X	Y	Theta
5000.00	3000.00	0.00
4999.70	3034.90	1.00
4998.78	3069.80	2.00
4997.26	3104.67	3.00
4995.13	3139.51	4.00
4992.39	3174.31	5.00
4989.04	3209.06	6.00
4985.09	3243.74	7.00
4980.54	3278.35	8.00
4975.38	3312.87	9.00
4969.62	3347.30	10.00
4963.25	3381.62	11.00
4956.30	3415.82	12.00
4948.74	3449.90	13.00
4940.59	3483.84	14.00
4931.85	3517.64	15.00
4922.52	3551.27	16.00
4912.61	3584.74	17.00
4902.11	3618.03	18.00
4891.04	3651.14	19.00
4879.39	3684.04	20.00
4867.16	3716.74	21.00
4854.37	3749.21	22.00
4841.01	3781.46	23.00
4827.09	3813.47	24.00
4812.62	3845.24	25.00
4797.59	3876.74	26.00
4782.01	3907.98	27.00
4765.90	3938.94	28.00
4749.24	3969.62	29.00
4732.05	4000.00	30.00
4714.33	4030.08	31.00
4696.10	4059.84	32.00
4677.34	4089.28	33.00
4658.08	4118.39	34.00
4638.30	4147.15	35.00
4618.03	4175.57	36.00
4597.27	4203.63	37.00
4576.02	4231.32	38.00
4554.29	4258.64	39.00
4532.09	4285.58	40.00
4509.42	4312.12	41.00
4486.29	4338.26	42.00
4462.71	4364.00	43.00
4438.68	4389.32	44.00
4414.21	4414.21	45.00
4389.32	4438.68	46.00
4364.00	4462.71	47.00
4338.26	4486.29	48.00
4312.12	4509.42	49.00
4285.58	4532.09	50.00
4258.64	4554.29	51.00
4231.32	4576.02	52.00
4203.63	4597.27	53.00
4175.57	4618.03	54.00
4147.15	4638.30	55.00
4118.39	4658.08	56.00
4089.28	4677.34	57.00
4059.84	4696.10	58.00
4030.08	4714.33	59.00
4000.00	4732.05	60.00
3969.62	4749.24	61.00
3938.94	4765.90	62.00
3907.98	4782.01	63.00
3876.74	4797.59	64.00
3845.24	4812.62	65.00
3813.47	4827.09	66.00
3781.46	4841.01	67.00
3749.21	4854.37	68.00
3716.74	4867.16	69.00
3684.04	4879.39	70.00
3651.14	4891.04	71.00
3618.03	4902.11	72.00
3584.74	4912.61	73.00
3551.27	4922.52	74.00
3517.64	4931.85	75.00
3483.84	4940.59	76.00
3449.90	4948.74	77.00
3415.82	4956.30	78.00
3381.62	4963.25	79.00
3347.30	4969.62	80.00
3312.87	4975.38	81.00
3278.35	4980.54	82.00
3243.74	4985.09	83.00
3209.06	4989.04	84.00
3174.31	4992.39	85.00
3139.51	4995.13	86.00
3104.67	4997.26	87.00
3069.80	4998.78	88.00
3034.90	4999.70	89.00
3000.00	5000.00	90.00
2965.10	4999.70	91.00
2930.20	4998.78	92.00
2895.33	4997.26	93.00
2860.49	4995.13	94.00
2825.69	4992.39	95.00
2790.94	4989.04	96.00
2756.26	4985.09	97.00
2721.65	4980.54	98.00
2687.13	4975.38	99.00
2652.70	4969.62	100.00
2618.38	4963.25	101.00
2584.18	4956.30	102.00
2550.10	4948.74	103.00
2516.16	4940.59	104.00
2482.36	4931.85	105.00
2448.73	4922.52	106.00
2415.26	4912.61	107.00
2381.97	4902.11	108.00
2348.86	4891.04	109.00
2315.96	4879.39	110.00
2283.26	4867.16	111.00
2250.79	4854.37	112.00
2218.54	4841.01	113.00
2186.53	4827.09	114.00
2154.76	4812.62	115.00
2123.26	4797.59	116.00
2092.02	4782.01	117.00
2061.06	4765.90	118.00
2030.38	4749.24	119.00
2000.00	4732.05	120.00
1969.92	4714.33	121.00
1940.16	4696.10	122.00
1910.72	4677.34	123.00
1881.61	4658.08	124.00
1852.85	4638.30	125.00
1824.43	4618.03	126.00
1796.37	4597.27	127.00
1768.68	4576.02	128.00
1741.36	4554.29	129.00
1714.42	4532.09	130.00
1687.88	4509.42	131.00
1661.74	4486.29	132.00
1636.00	4462.71	133.00
1610.68	4438.68	134.00
1585.79	4414.21	135.00
1561.32	4389.32	136.00
1537.29	4364.00	137.00
1513.71	4338.26	138.00
1490.58	4312.12	139.00
1467.91	4285.58	140.00
1445.71	4258.64	141.00
1423.98	4231.32	142.00
1402.73	4203.63	143.00
1381.97	4175.57	144.00
1361.70	4147.15	145.00
1341.92	4118.39	146.00
1322.66	4089.28	147.00
1303.90	4059.84	148.00
1285.67	4030.08	149.00
1267.95	4000.00	150.00
